pp_nr,pp_id,session,block,trial,dis_pos_rel,filler2_pos,dis_pos_cont,tar_shape,t_search_on,tar_col_name,tar_pos,filler1_pos,dis_pos,finger_on_shape,finger_on_target,dis_condition,finger_on_filler,t_trial_start,search_time,finger_on_start,long_start,t_on_start,interval_beforesearch,finger_on_distractor,max_search_time,reach_end_cutoff_t,nr_trials,nr_blocks,min_dist_start,min_dist_shape
02,is,practice,0,0,1,3,1,diamond,1107.3188728,blue,1,0,2,1,1,different,0,1106.4752381,0.988175,1,0,1106.5149485,0.8,0,1,1,40,2,0.01,0.07
02,is,practice,0,1,2,3,2,sphere,1110.4836491,red,0,1,2,-1,0,same,0,1109.5518883,1.0107846,1,0,1109.5738531,0.9,0,1,1.0,40,2,0.01,0.07
02,is,practice,0,2,-1,3,3,diamond,1113.5823921,blue,2,0,1,2,1,different,0,1112.4950464,0.7770423,1,0,1112.6785275,0.9,0,1,1.0,40,2,0.01,0.07
02,is,practice,0,3,-3,2,1,diamond,1116.658492,red,3,1,0,3,1,different,0,1115.6161023,0.7109212,1,0,1115.6537066,1.0,0,1,1.0,40,2,0.01,0.07
02,is,practice,0,4,-2,2,2,sphere,1119.4573483,blue,3,0,1,3,1,same,0,1118.6254942,0.7442703,1,0,1118.6470779,0.8,0,1,1.0,40,2,0.01,0.07
02,is,practice,0,5,-2,2,2,diamond,1122.4113993,blue,3,0,1,3,1,same,0,1121.4576255,0.6112143,1,0,1121.4942862,0.9,0,1,1.0,40,2,0.01,0.07
02,is,practice,0,6,-2,3,2,diamond,1125.1325934,red,2,1,0,2,1,same,0,1124.2786225,0.7112016,1,0,1124.3113647,0.8,0,1,1.0,40,2,0.01,0.07
02,is,practice,0,7,-2,2,2,sphere,1128.0312665,red,3,0,1,3,1,same,0,1127.0995547,0.7886099,1,0,1127.1210051,0.9,0,1,1.0,40,2,0.01,0.07
02,is,practice,0,8,1,3,1,diamond,1130.9187781,blue,0,2,1,0,1,same,0,1130.0760393,0.8107359,1,0,1130.1136965,0.8,0,1,1.0,40,2,0.01,0.07
02,is,practice,0,9,-1,1,3,sphere,1133.9173548,blue,3,0,2,3,1,different,0,1132.9858761,0.7558573,1,0,1133.0075764,0.9,0,1,1.0,40,2,0.01,0.07
02,is,practice,0,10,-2,2,2,diamond,1136.7716372,red,3,0,1,3,1,same,0,1135.9291513,0.6551472,1,0,1135.9679998,0.8,0,1,1.0,40,2,0.01,0.07
