pp_nr,pp_id,session,block,trial,dis_pos_rel,filler2_pos,dis_pos_cont,tar_shape,t_search_on,tar_col_name,tar_pos,filler1_pos,dis_pos,finger_on_shape,finger_on_target,dis_condition,finger_on_filler,t_trial_start,search_time,finger_on_start,long_start,t_on_start,interval_beforesearch,finger_on_distractor,max_search_time,reach_end_cutoff_t,nr_trials,nr_blocks,min_dist_start,min_dist_shape
03,mm,practice,0,0,-1,3,3,sphere,168.709365,red,1,2,0,-1,0,same,0,167.8773298,1.0108378,1,0,167.8994531,0.8,0,1,1,40,2,0.01,0.07
03,mm,practice,0,1,-2,2,2,diamond,171.9189239,red,3,0,1,-1,0,same,0,170.720643,1.0110795,1,0,171.0155643,0.9,0,1,1.0,40,2,0.01,0.07
03,mm,practice,0,2,-2,3,2,diamond,175.1400263,blue,2,1,0,-1,0,different,0,173.9305012,1.0105644,1,0,174.1361313,1.0,0,1,1.0,40,2,0.01,0.07
03,mm,practice,0,3,3,2,3,sphere,178.0833346,blue,0,1,3,0,1,same,0,177.1511521,0.9324955,1,0,177.1727678,0.9,0,1,1.0,40,2,0.01,0.07
03,mm,practice,0,4,3,2,3,diamond,181.3035434,blue,0,1,3,0,1,same,0,180.2610863,0.7665923,1,0,180.2982999,1.0,0,1,1.0,40,2,0.01,0.07
03,mm,practice,0,5,-3,2,1,diamond,184.3689269,red,3,1,0,3,1,different,0,183.3261584,0.7884776,1,0,183.362893,1.0,0,1,1.0,40,2,0.01,0.07
03,mm,practice,0,6,2,2,2,diamond,187.2562112,blue,1,0,3,0,0,different,1,186.4136489,0.7889428,1,0,186.4468935,0.8,0,1,1.0,40,2,0.01,0.07
03,mm,practice,0,7,2,3,2,sphere,190.1332659,blue,0,1,2,0,1,same,0,189.3013189,0.8883517,1,0,189.3228611,0.8,0,1,1.0,40,2,0.01,0.07
03,mm,practice,0,8,-2,2,2,sphere,197.7298286,red,3,0,1,-1,0,different,0,192.2776909,1.0107864,1,1,196.718892,1.0,0,1,1.0,40,2,0.01,0.07
03,mm,practice,0,9,-3,2,1,sphere,200.7728753,blue,3,1,0,3,1,same,0,199.7411387,0.7218034,1,0,199.7625724,1.0,0,1,1.0,40,2,0.01,0.07
03,mm,practice,0,10,3,2,3,diamond,203.6935255,red,0,1,3,0,1,different,0,202.7508419,0.7996503,1,0,202.788113,0.9,0,1,1.0,40,2,0.01,0.07
03,mm,practice,0,11,1,3,1,diamond,206.5921537,blue,1,0,2,-1,0,different,0,205.7495274,1.0109753,1,0,205.7825833,0.8,0,1,1.0,40,2,0.01,0.07
03,mm,practice,0,12,2,3,2,sphere,209.5356084,red,0,1,2,0,1,same,0,208.6037389,0.9777905,1,0,208.625598,0.9,0,1,1.0,40,2,0.01,0.07
03,mm,practice,0,13,-1,1,3,diamond,212.711699,blue,3,0,2,3,1,same,0,211.7690711,0.777878,1,0,211.8065544,0.9,0,1,1.0,40,2,0.01,0.07
03,mm,practice,0,14,1,3,1,diamond,223.5961508,red,1,0,2,-1,0,different,0,214.7455995,1.0105246,1,1,222.7854521,0.8,0,1,1.0,40,2,0.01,0.07
03,mm,practice,0,15,2,2,2,sphere,226.4170195,red,1,0,3,1,1,same,0,225.5851505,0.8106974,1,0,225.6066408,0.8,0,1,1.0,40,2,0.01,0.07
03,mm,practice,0,16,-1,3,3,diamond,229.5158168,red,2,0,1,2,1,same,0,228.4726019,0.8668492,1,0,228.5092848,1.0,0,1,1.0,40,2,0.01,0.07
